date,prov_state,country,lat,long,cum_case,location,new_case,cum_death,new_death,cum_cured,new_cured,distance_hubei
2020-01-22,Anhui,China,31.8257,117.2264,1,Anhui,1.0,,,,,479.8520523683383
2020-01-23,Anhui,China,31.8257,117.2264,9,Anhui,8.0,,,,,479.8520523683383
2020-01-24,Anhui,China,31.8257,117.2264,15,Anhui,6.0,,,,,479.8520523683383
2020-01-25,Anhui,China,31.8257,117.2264,39,Anhui,24.0,,,,,479.8520523683383
2020-01-26,Anhui,China,31.8257,117.2264,60,Anhui,21.0,,,,,479.8520523683383
2020-01-27,Anhui,China,31.8257,117.2264,70,Anhui,10.0,,,,,479.8520523683383
2020-01-28,Anhui,China,31.8257,117.2264,106,Anhui,36.0,,,,,479.8520523683383
2020-01-29,Anhui,China,31.8257,117.2264,152,Anhui,46.0,,,2.0,2.0,479.8520523683383
2020-01-30,Anhui,China,31.8257,117.2264,200,Anhui,48.0,,,2.0,0.0,479.8520523683383
2020-01-31,Anhui,China,31.8257,117.2264,237,Anhui,37.0,,,3.0,1.0,479.8520523683383
2020-02-01,Anhui,China,31.8257,117.2264,297,Anhui,60.0,,,5.0,2.0,479.8520523683383
2020-02-02,Anhui,China,31.8257,117.2264,340,Anhui,43.0,,,7.0,2.0,479.8520523683383
2020-02-03,Anhui,China,31.8257,117.2264,408,Anhui,68.0,,,14.0,7.0,479.8520523683383
2020-02-04,Anhui,China,31.8257,117.2264,480,Anhui,72.0,,,20.0,6.0,479.8520523683383
2020-02-05,Anhui,China,31.8257,117.2264,530,Anhui,50.0,,,23.0,3.0,479.8520523683383
2020-02-06,Anhui,China,31.8257,117.2264,591,Anhui,61.0,,,34.0,11.0,479.8520523683383
2020-02-07,Anhui,China,31.8257,117.2264,665,Anhui,74.0,,,47.0,13.0,479.8520523683383
2020-02-08,Anhui,China,31.8257,117.2264,733,Anhui,68.0,,,59.0,12.0,479.8520523683383
2020-02-09,Anhui,China,31.8257,117.2264,779,Anhui,46.0,1.0,1.0,72.0,13.0,479.8520523683383
2020-02-10,Anhui,China,31.8257,117.2264,830,Anhui,51.0,3.0,2.0,88.0,16.0,479.8520523683383
2020-02-11,Anhui,China,31.8257,117.2264,860,Anhui,30.0,4.0,1.0,105.0,17.0,479.8520523683383
2020-02-12,Anhui,China,31.8257,117.2264,889,Anhui,29.0,4.0,0.0,127.0,22.0,479.8520523683383
2020-02-13,Anhui,China,31.8257,117.2264,910,Anhui,21.0,5.0,1.0,157.0,30.0,479.8520523683383
2020-02-14,Anhui,China,31.8257,117.2264,934,Anhui,24.0,6.0,1.0,193.0,36.0,479.8520523683383
2020-02-15,Anhui,China,31.8257,117.2264,950,Anhui,16.0,6.0,0.0,221.0,28.0,479.8520523683383
2020-02-16,Anhui,China,31.8257,117.2264,962,Anhui,12.0,6.0,0.0,255.0,34.0,479.8520523683383
2020-02-17,Anhui,China,31.8257,117.2264,973,Anhui,11.0,6.0,0.0,280.0,25.0,479.8520523683383
2020-02-18,Anhui,China,31.8257,117.2264,982,Anhui,9.0,6.0,0.0,361.0,81.0,479.8520523683383
2020-02-19,Anhui,China,31.8257,117.2264,986,Anhui,4.0,6.0,0.0,413.0,52.0,479.8520523683383
2020-02-20,Anhui,China,31.8257,117.2264,987,Anhui,1.0,6.0,0.0,474.0,61.0,479.8520523683383
2020-02-21,Anhui,China,31.8257,117.2264,988,Anhui,1.0,6.0,0.0,539.0,65.0,479.8520523683383
2020-02-22,Anhui,China,31.8257,117.2264,989,Anhui,1.0,6.0,0.0,597.0,58.0,479.8520523683383
2020-02-23,Anhui,China,31.8257,117.2264,989,Anhui,0.0,6.0,0.0,637.0,40.0,479.8520523683383
2020-02-24,Anhui,China,31.8257,117.2264,989,Anhui,0.0,6.0,0.0,663.0,26.0,479.8520523683383
2020-02-25,Anhui,China,31.8257,117.2264,989,Anhui,0.0,6.0,0.0,712.0,49.0,479.8520523683383
2020-02-26,Anhui,China,31.8257,117.2264,989,Anhui,0.0,6.0,0.0,744.0,32.0,479.8520523683383
2020-02-27,Anhui,China,31.8257,117.2264,989,Anhui,0.0,6.0,0.0,792.0,48.0,479.8520523683383
2020-02-28,Anhui,China,31.8257,117.2264,990,Anhui,1.0,6.0,0.0,821.0,29.0,479.8520523683383
2020-02-29,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,868.0,47.0,479.8520523683383
2020-03-01,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,873.0,5.0,479.8520523683383
2020-03-02,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,917.0,44.0,479.8520523683383
2020-03-03,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,936.0,19.0,479.8520523683383
2020-03-04,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,956.0,20.0,479.8520523683383
2020-03-05,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,970.0,14.0,479.8520523683383
2020-03-06,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,979.0,9.0,479.8520523683383
2020-03-07,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,979.0,0.0,479.8520523683383
2020-03-08,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,5.0,479.8520523683383
2020-03-09,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-10,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-11,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-12,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-13,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-14,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-15,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-16,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-17,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-18,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-19,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-20,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-21,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-22,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-23,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-24,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-25,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-26,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-27,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-28,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-29,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-30,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-03-31,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-04-01,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-04-02,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-04-03,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-04-04,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-04-05,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
2020-04-06,Anhui,China,31.8257,117.2264,990,Anhui,0.0,6.0,0.0,984.0,0.0,479.8520523683383
